Name,CID,SMILES,Source
Aspirin,2244,CC(=O)OC1=CC=CC=C1C(=O)O,PubChem
Ibuprofen,3672,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,PubChem
Acetaminophen,1983,CC(=O)NC1=CC=C(C=C1)O,PubChem
Naproxen,156391,C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O,PubChem
Diclofenac,3033,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl,PubChem
Caffeine,2519,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,PubChem
Theophylline,2153,CN1C2=C(C(=O)N(C1=O)C)NC=N2,PubChem
Metformin,4091,CN(C)C(=N)N=C(N)N,PubChem
Artemether,68911,C[C@@H]1CC[C@H]2[C@H]([C@H](O[C@H]3[C@@]24[C@H]1CC[C@](O3)(OO4)C)OC)C,PubChem
Lumefantrine,6437380,CCCCN(CCCC)CC(C1=CC(=CC\2=C1C3=C(/C2=C/C4=CC=C(C=C4)Cl)C=C(C=C3)Cl)Cl)O,PubChem
