Ligand,Binding Affinity,rmsd/ub, rmsd/lb
7SFBcleaned_1983_uff_E=108.66,-5.4,0.0,0.0
7SFBcleaned_1983_uff_E=108.66,-5.4,1.463,0.096
7SFBcleaned_1983_uff_E=108.66,-5.0,2.843,2.721
7SFBcleaned_1983_uff_E=108.66,-4.8,5.132,3.573
7SFBcleaned_1983_uff_E=108.66,-4.6,5.724,5.111
7SFBcleaned_1983_uff_E=108.66,-4.6,4.943,4.091
7SFBcleaned_1983_uff_E=108.66,-4.6,5.071,2.684
7SFBcleaned_1983_uff_E=108.66,-4.5,7.539,5.282
7SFBcleaned_1983_uff_E=108.66,-4.5,6.972,3.122
7SFBcleaned_68911_uff_E=506.38,-6.9,0.0,0.0
7SFBcleaned_68911_uff_E=506.38,-6.7,4.481,1.906
7SFBcleaned_68911_uff_E=506.38,-6.6,5.506,2.945
7SFBcleaned_68911_uff_E=506.38,-6.5,6.327,3.252
7SFBcleaned_68911_uff_E=506.38,-6.4,3.967,2.539
7SFBcleaned_68911_uff_E=506.38,-6.3,5.136,2.135
7SFBcleaned_68911_uff_E=506.38,-6.2,4.89,1.878
7SFBcleaned_68911_uff_E=506.38,-6.1,5.284,2.497
7SFBcleaned_68911_uff_E=506.38,-6.0,5.762,2.556
7SFBcleaned_2244_uff_E=163.90,-5.9,0.0,0.0
7SFBcleaned_2244_uff_E=163.90,-5.5,2.245,1.961
7SFBcleaned_2244_uff_E=163.90,-5.4,3.966,2.09
7SFBcleaned_2244_uff_E=163.90,-5.3,3.309,2.199
7SFBcleaned_2244_uff_E=163.90,-5.3,4.33,2.824
7SFBcleaned_2244_uff_E=163.90,-5.2,3.799,2.759
7SFBcleaned_2244_uff_E=163.90,-5.2,3.816,2.318
7SFBcleaned_2244_uff_E=163.90,-5.2,4.135,2.85
7SFBcleaned_2244_uff_E=163.90,-5.2,3.994,1.756
7SFBcleaned_2519_uff_E=351.18,-5.6,0.0,0.0
7SFBcleaned_2519_uff_E=351.18,-5.4,3.734,1.326
7SFBcleaned_2519_uff_E=351.18,-5.4,4.226,2.8
7SFBcleaned_2519_uff_E=351.18,-5.3,3.991,2.636
7SFBcleaned_2519_uff_E=351.18,-5.3,4.566,1.908
7SFBcleaned_2519_uff_E=351.18,-5.1,3.096,1.612
7SFBcleaned_2519_uff_E=351.18,-4.9,5.2,3.748
7SFBcleaned_2519_uff_E=351.18,-4.9,6.265,4.741
7SFBcleaned_2519_uff_E=351.18,-4.8,4.415,2.269
7SFBcleaned_3033_uff_E=293.72,-6.0,0.0,0.0
7SFBcleaned_3033_uff_E=293.72,-5.9,5.272,3.657
7SFBcleaned_3033_uff_E=293.72,-5.9,6.28,4.334
7SFBcleaned_3033_uff_E=293.72,-5.9,6.351,4.337
7SFBcleaned_3033_uff_E=293.72,-5.9,5.326,3.65
7SFBcleaned_3033_uff_E=293.72,-5.9,5.358,3.041
7SFBcleaned_3033_uff_E=293.72,-5.8,5.032,3.512
7SFBcleaned_3033_uff_E=293.72,-5.8,5.152,3.125
7SFBcleaned_3033_uff_E=293.72,-5.8,6.332,3.421
7SFBcleaned_3672_uff_E=120.63,-6.4,0.0,0.0
7SFBcleaned_3672_uff_E=120.63,-6.2,7.175,5.487
7SFBcleaned_3672_uff_E=120.63,-6.0,2.226,1.552
