Name,CID,MW,LogP,HBD,HBA,TPSA,GI_Absorption,BBB_Permeant,Lipinski_Violations,Bioavailability
Aspirin,2244,180.16,1.28,1,4,63.60,High,Yes,0,0.85
Ibuprofen,3672,206.28,3.00,1,2,37.30,High,Yes,0,0.85
Acetaminophen,1983,151.16,0.93,2,2,49.33,High,Yes,0,0.55
Naproxen,156391,230.26,2.76,1,3,46.53,High,Yes,0,0.85
Diclofenac,3033,296.15,3.66,2,2,49.33,High,Yes,0,0.85
Caffeine,2519,194.19,0.08,0,3,61.82,High,No,0,0.55
Theophylline,2153,180.16,-0.19,1,3,72.68,High,No,0,0.55
Metformin,4091,129.16,-0.89,3,2,91.49,High,No,0,0.55
Artemether,68911,298.37,2.73,0,5,46.15,High,Yes,0,0.55
Lumefantrine,6437380,528.94,7.86,1,2,23.47,Low,No,2,0.17
